sigmaMeanNormalized,nNormalized,Target
1,0.571428571,0
1,0.714285714,0
1,0.857142857,0
1,1,0
0.484084507,0.525213202,0.956980438
0.476126761,0.567778897,0.944314553
0.466707746,0.63919461,0.895264646
0.457288732,0.675138932,0.856380734
0.447887324,0.681287303,0.847291696
0.42181338,0.699732422,0.826660781
0.40443662,0.75412187,0.770707505
0.395739437,0.760270242,0.764744183
0.382711268,0.775404696,0.750916633
0.378362676,0.831212997,0.723156611
0.377640845,0.886075394,0.712626114
0.229190141,0.322788887,1.370088685
0.220017606,0.407920923,1.309817707
0.204571596,0.500146822,1.220508215
0.196842723,0.58196746,1.138647008
0.199982394,0.581494515,1.137486715
0.186707746,0.635883932,1.084842959
0.17536385,0.684597967,1.042807781
0.166672535,0.760743193,0.989221533
0.164019953,0.785809632,0.974983541
0.161842723,0.825537576,0.95670671
0.161602113,0.855333533,0.945264158
0,0.306709257,1.75400312
0,0.364409148,1.686989268
0,0.445284201,1.56390277
0,0.534199301,1.408054135
0,0.618384726,1.258481893
0,0.667571702,1.176654865
0,0.67986845,1.159106333
0,0.740879222,1.077773618
0,0.796214569,1.014975416
0,0.816078542,0.9957621
0,0.827429382,0.985741734
0,0.875197505,0.949785166
