RMS Velocity (mm/s),Stiffness ratio,Equivalent Stress Maximum [MPa]
3.87551263,0.198019802,53.82696185
5.791723728,0.198019802,55.31925437
7.864542305,0.198019802,56.99698867
10.04641503,0.198019802,58.40134013
12.27653027,0.198019802,59.61856314
14.62012529,0.198019802,60.74588623
18.23082566,0.198019802,62.12032568
18.4250772,0.198019802,62.4136244
18.11078191,0.198019802,62.80021618
17.27633178,0.198019802,63.07266124
15.83005488,0.198019802,63.55164791
13.63886893,0.198019802,64.11323772
10.61187685,0.198019802,64.69336223
3.067225218,0.198019802,65.27380661
6.307795644,0.198019802,65.84658541
4.464745522,0.198019802,61.85537404
11.4659965,0.198019802,62.68734664
19.34188604,0.198019802,63.48461058
29.80747819,0.198019802,63.96639524
39.99748826,0.198019802,64.20661968
53.70494723,0.198019802,64.62942209
66.97702408,0.198019802,65.01643671
81.22497797,0.198019802,66.41728942
104.162395,0.198019802,68.6150886
110.5514765,0.198019802,68.38317174
119.8973656,0.198019802,67.72132025
129.0282607,0.198019802,67.04712493
141.0474777,0.198019802,67.44900233
155.3451419,0.198019802,67.640009
167.8103209,0.198019802,67.59254565
185.8870983,0.198019802,67.39593631
1.91321224,0.198019802,60.07663993
0.061646104,0.198019802,60.93082452
3.827556968,0.198019802,61.81627148
8.501842618,0.198019802,62.34121699
13.7783885,0.198019802,62.60158292
18.44799519,0.198019802,62.81969314
25.38317442,0.198019802,63.04120427
32.17867017,0.198019802,63.83856335
39.27960992,0.198019802,64.90681832
45.82175612,0.198019802,65.76974196
54.18723822,0.198019802,66.66936187
61.88672781,0.198019802,67.44329581
68.06045771,0.198019802,68.06418602
77.34143734,0.198019802,68.78422885
85.88320017,0.198019802,69.42736606
94.19673681,0.198019802,70.06096423
1.958111301,0.198019802,52.93820929
1.897318289,0.198019802,53.58144892
1.583945006,0.198019802,54.50892659
1.386329532,0.198019802,55.08837066
0.70047006,0.198019802,55.51289119
0.329248607,0.198019802,56.05734831
0.143900514,0.198019802,56.16792634
1.165010035,0.198019802,56.44111444
1.774355769,0.198019802,56.48569181
2.954550087,0.198019802,56.92775994
3.748595715,0.198019802,57.69216983
4.427336156,0.198019802,58.3468823
5.9055686,0.198019802,59.13078013
6.73058629,0.198019802,59.70677599
8.162781596,0.198019802,60.36025179
9.200498462,0.198019802,60.89295608
0.174354762,0.198019802,3.031208688
1.458708197,0.1,53.2584381
0.437188894,0.1,55.04246772
2.677589655,0.1,56.64306188
5.166843534,0.1,58.01511359
7.806055248,0.1,59.21805318
10.51402837,0.1,60.28993726
13.26490939,0.1,61.25700907
15.95938951,0.1,62.13829693
18.57095957,0.1,62.94882012
21.15286887,0.1,63.7898825
26.09525621,0.1,64.82363574
24.8413831,0.1,65.20088354
22.309497,0.1,65.55489805
18.83979142,0.1,65.92693526
14.43451643,0.1,66.31734284
22.63236791,0.1,61.59477999
17.36210287,0.1,62.42847933
11.86095178,0.1,63.22567396
1.58752501,0.1,63.71733617
8.913457394,0.1,63.96928821
24.01167154,0.1,64.17344453
40.60170054,0.1,64.93508373
56.84643984,0.1,66.08976318
76.74559951,0.1,67.20156937
94.58681941,0.1,68.10623906
117.6011562,0.1,69.06056064
139.23949,0.1,69.89107757
170.3360081,0.1,71.12770719
189.0141368,0.1,71.55104657
194.5338249,0.1,71.53980807
201.5008926,0.1,71.50141027
24.33273196,0.1,59.82316711
25.55372566,0.1,60.67902771
25.23014694,0.1,61.56690509
22.53854275,0.1,62.09676398
18.24580133,0.1,62.36670479
15.32956958,0.1,62.59635549
9.528160095,0.1,62.65870777
2.354711294,0.1,63.60522026
5.473017693,0.1,64.59770766
11.42644882,0.1,65.43073338
20.63092589,0.1,66.29669246
30.00330925,0.1,67.05235519
36.79922223,0.1,67.67100188
47.48097062,0.1,68.38004166
57.98852444,0.1,69.01481653
67.84301996,0.1,69.59084561
8.246028796,0.1,34.4084
8.935827762,0.1,53.33595762
9.763067588,0.1,54.26485646
10.50142013,0.1,54.84720398
10.44907048,0.1,55.27624185
11.19884849,0.1,55.8246979
11.19296625,0.1,55.94347914
10.89743525,0.1,56.22658068
10.89866459,0.1,56.2851389
9.993493557,0.1,56.70815899
9.97929275,0.1,57.45097057
9.542763233,0.1,58.08255873
8.433781564,0.1,58.84358005
7.975786924,0.1,59.40671454
6.522081792,0.1,60.04390511
6.00951165,0.1,60.56904392
0.222394243,0.1,2.621122125
0.983566046,0.1,2.176071781
1.193407923,0.1,2.63682775
1.411368139,0.1,3.114979125
1.63531024,0.1,3.609181063
1.867402345,0.1,4.118830813
2.106469125,0.1,4.641882938
2.352688462,0.1,5.182635625
2.606442198,0.1,5.740266375
2.868277486,0.1,6.3160505
3.138880245,0.1,6.91151475
3.419045359,0.1,7.528499625
3.709661774,0.1,8.168899875
4.011682235,0.1,8.8348705
4.326115362,0.1,9.52851275
4.653990269,0.1,10.25212875
3.31654679,0.1,7.352620625
4.087458365,0.1,9.04299325
5.02537284,0.1,11.101418
5.977030843,0.1,13.18228425
6.880257279,0.1,15.157075
8.001828566,0.1,17.605717
8.917484432,0.1,19.599694
9.996337816,0.1,21.954357
11.05189323,0.1,24.253372
12.03181222,0.1,26.3903775
13.22633028,0.1,28.994504
14.17144388,0.1,31.053565
15.29277116,0.1,33.502497
16.34961367,0.1,52.89555933
17.34308898,0.1,53.19080563
18.54363456,0.1,53.52560583
2.368279733,0.1,5.268616875
2.908442169,0.1,6.463652625
3.632808104,0.1,8.061690875
4.294765182,0.1,9.5182915
4.923592322,0.1,10.899124
5.606001243,0.1,12.40042225
6.436705589,0.1,14.2241175
7.129844278,0.1,15.74197875
7.829057053,0.1,17.272178
8.635394275,0.1,19.041336
9.493658319,0.1,20.920004
10.2258157,0.1,22.5395445
10.95417887,0.1,24.137761
11.90208271,0.1,26.2148515
12.75879145,0.1,28.091766
13.55005428,0.1,29.82435
0.57109748,0.1,1.266774219
0.663303654,0.1,1.487985531
0.829968601,0.1,1.851845781
0.968082342,0.1,2.156492281
1.114502782,0.1,2.4802505
1.293348148,0.1,2.876427438
1.414960716,0.1,3.144918938
1.61200203,0.1,3.57963725
1.769028138,0.1,3.926364313
1.940549817,0.1,4.307171375
2.139603719,0.1,4.74685925
2.278870903,0.1,5.05350425
2.501835115,0.1,5.544438625
2.674335148,0.1,5.924377625
2.869665623,0.1,6.3533635
3.085299395,0.1,6.828571
0.436682254,0.1,0.948700297
0.565956114,0.198019802,1.222578563
0.705037965,0.198019802,1.4966065
0.85294107,0.198019802,1.803586969
1.008976717,0.198019802,2.126644906
1.172699966,0.198019802,2.464957625
1.343864948,0.198019802,2.81809925
1.5223925,0.198019802,3.185998563
1.707770396,0.198019802,3.568843375
1.901200972,0.198019802,3.967060188
2.102487721,0.198019802,4.38125775
2.311985008,0.198019802,4.812232625
2.530112863,0.198019802,5.2608675
2.757342532,0.198019802,5.728189375
2.994185314,0.198019802,6.21525225
3.241185099,0.198019802,6.723215125
1.767620444,0.198019802,3.860408
2.251747996,0.198019802,4.88395925
2.832161263,0.198019802,6.1148745
3.450974822,0.198019802,7.416223
4.042578861,0.198019802,8.660097875
4.790127277,0.198019802,10.22758775
5.429172888,0.198019802,11.560129
6.16190955,0.198019802,13.0948235
6.907731295,0.198019802,14.64980625
7.600307465,0.198019802,16.095936
8.453372866,0.198019802,17.8757385
9.158540517,0.198019802,19.342212
9.967043996,0.198019802,21.0309725
10.76898351,0.198019802,22.7026425
11.51178032,0.198019802,24.2547145
12.41581142,0.198019802,26.1413145
1.199714839,0.198019802,2.652209813
1.507794484,0.198019802,3.31734925
1.935059205,0.198019802,4.233119438
2.343770117,0.198019802,5.102639
2.746035345,0.198019802,5.953510375
3.171269782,0.198019802,6.85727125
3.703933209,0.198019802,7.9837885
4.170075059,0.198019802,8.9627355
4.647495225,0.198019802,9.9637145
5.176518112,0.198019802,11.07962125
5.7613682,0.198019802,12.30651775
6.285391748,0.198019802,13.4007025
6.790596992,0.198019802,14.45964475
7.451303303,0.198019802,15.842599
8.0646649,0.198019802,17.123092
8.644457906,0.198019802,18.32986925
0.268450007,0.198019802,0.603729328
0.323798158,0.198019802,0.722259703
0.415817369,0.198019802,0.920831938
0.491156476,0.198019802,1.08767725
0.57964772,0.198019802,1.277871469
0.681323931,0.198019802,1.497946875
0.756495167,0.198019802,1.658501375
0.877952669,0.198019802,1.917391563
0.974751543,0.198019802,2.124130438
1.088317484,0.198019802,2.333283375
1.210773829,0.198019802,2.591255063
1.303484198,0.198019802,2.784081875
1.449208707,0.198019802,3.088100125
1.562636811,0.198019802,3.324487375
1.697237603,0.198019802,3.602946188
1.83713343,0.198019802,3.8951255
0.059578917,0.198019802,0.158948309
1.047312981,0.1,1.6813375
1.226226101,0.1,1.966669344
1.399148954,0.1,2.2410955
1.564408652,0.1,2.502327938
1.720946981,0.1,2.747877875
1.865711994,0.1,2.97538025
1.999544445,0.1,3.18245575
2.120031975,0.1,3.36664275
2.227348741,0.1,3.525272375
2.316694241,0.1,3.655366938
2.38801213,0.1,3.7534485
2.43857177,0.1,3.81540575
2.464245073,0.1,3.8361485
2.463818993,0.1,3.809202
2.432705369,0.1,3.719168688
3.843735904,0.1,6.189166875
4.60591726,0.1,7.409885375
5.544009618,0.1,8.9127815
6.435518153,0.1,10.33698775
7.268356159,0.1,11.66664575
8.274087682,0.1,13.26925175
9.031007066,0.1,14.4695535
9.959835559,0.1,15.94993225
10.80328599,0.1,17.2842075
11.57590561,0.1,18.5049235
12.4942027,0.1,19.960719
13.14266212,0.1,20.972007
13.96782137,0.1,22.266381
14.67699558,0.1,23.366756
15.31996205,0.1,24.355352
16.08577371,0.1,25.535396
2.844821196,0.1,4.585328688
3.432288766,0.1,5.52940575
4.192505032,0.1,6.750289625
4.847502336,0.1,7.799599625
5.435401574,0.1,8.739638125
6.089061499,0.1,9.78572575
6.853127852,0.1,11.00641575
7.430952042,0.1,11.9259025
7.986979559,0.1,12.81238825
8.670993149,0.1,13.90247775
9.34333168,0.1,14.96964
9.854326025,0.1,15.775904
10.36395505,0.1,16.5813365
11.03945076,0.1,17.64368325
